,Potential
0,4.979985192562499
1,4.5231953492875
2,4.3057520416875
3,4.4828591720875
4,4.979222629712501
5,5.5596640703875
6,6.0031211434625
7,6.2199288755875
8,6.2261955156374995
9,6.1086498608625
10,5.9626039773374995
11,5.8569634622999995
12,5.814289466875
13,5.792740827
14,5.6951316444749995
15,5.424291444575
16,4.9799851925625
17,4.5231953492875
18,4.3057520416875
19,4.4828591720875
20,4.9792226297125
21,5.5596640703875
22,6.003121143462501
23,6.2199288755875
24,6.2261955156374995
25,6.1086498608625
26,5.9626039773374995
27,5.8569634622999995
28,5.814289466875
29,5.792740827
30,5.6951316444749995
31,5.424291444575
32,4.979985192562499
33,4.5231953492875
34,4.3057520416875
35,4.4828591720875
36,4.979222629712501
37,5.5596640703875
38,6.0031211434625
39,6.2199288755875
40,6.2261955156374995
41,6.1086498608625
42,5.9626039773374995
43,5.8569634622999995
44,5.814289466875
45,5.792740827
46,5.6951316444749995
47,5.424291444575
48,4.9799851925625
49,4.5231953492875
50,4.3057520416875
51,4.4828591720875
52,4.9792226297125
53,5.5596640703875
54,6.003121143462501
55,6.2199288755875
56,6.2261955156374995
57,6.1086498608625
58,5.9626039773374995
59,5.8569634622999995
60,5.814289466875
61,5.792740827
62,5.6951316444749995
63,5.424291444575
64,4.979985192562499
65,4.5231953492875
66,4.3057520416875
67,4.4828591720875
68,4.979222629712501
69,5.5596640703875
70,6.0031211434625
71,6.2199288755875
72,6.2261955156374995
73,6.1086498608625
74,5.9626039773374995
75,5.8569634622999995
76,5.814289466875
77,5.792740827
78,5.6951316444749995
79,5.424291444575
80,4.9799851925625
81,4.5231953492875
82,4.3057520416875
83,4.4828591720875
84,4.9792226297125
85,5.5596640703875
86,6.003121143462501
87,6.2199288755875
88,6.2261955156374995
89,6.1086498608625
90,5.9626039773374995
91,5.8569634622999995
92,5.814289466875
93,5.792740827
94,5.6951316444749995
95,5.424291444575
96,4.979985192562499
97,4.5231953492875
98,4.3057520416875
99,4.4828591720875
100,4.979222629712501
101,5.5596640703875
102,6.0031211434625
103,6.2199288755875
104,6.2261955156374995
105,6.1086498608625
106,5.9626039773374995
107,5.8569634622999995
108,5.814289466875
109,5.792740827
110,5.6951316444749995
111,5.424291444575
112,4.9799851925625
113,4.5231953492875
114,4.3057520416875
115,4.4828591720875
116,4.9792226297125
117,5.5596640703875
118,6.003121143462501
119,6.2199288755875
120,6.2261955156374995
121,6.1086498608625
122,5.9626039773374995
123,5.8569634622999995
124,5.814289466875
125,5.792740827
126,5.6951316444749995
127,5.424291444575
128,4.979985192562499
129,4.5231953492875
130,4.3057520416875
131,4.4828591720875
132,4.979222629712501
133,5.5596640703875
134,6.0031211434625
135,6.2199288755875
136,6.2261955156374995
137,6.1086498608625
138,5.9626039773374995
139,5.8569634622999995
140,5.814289466875
141,5.792740827
142,5.6951316444749995
143,5.424291444575
144,4.9799851925625
145,4.5231953492875
146,4.3057520416875
147,4.4828591720875
148,4.9792226297125
149,5.5596640703875
150,6.003121143462501
151,6.2199288755875
152,6.2261955156374995
153,6.1086498608625
154,5.9626039773374995
155,5.8569634622999995
156,5.814289466875
157,5.792740827
158,5.6951316444749995
159,5.424291444575
160,4.979985192562499
161,4.5231953492875
162,4.3057520416875
163,4.4828591720875
164,4.979222629712501
165,5.5596640703875
166,6.0031211434625
167,6.2199288755875
168,6.2261955156374995
169,6.1086498608625
170,5.9626039773374995
171,5.8569634622999995
172,5.814289466875
173,5.792740827
174,5.6951316444749995
175,5.424291444575
176,4.9799851925625
177,4.5231953492875
178,4.3057520416875
179,4.4828591720875
180,4.9792226297125
181,5.5596640703875
182,6.003121143462501
183,6.2199288755875
184,6.2261955156374995
185,6.1086498608625
186,5.9626039773374995
187,5.8569634622999995
188,5.814289466875
189,5.792740827
190,5.6951316444749995
191,5.424291444575
192,4.979985192562499
193,4.5231953492875
194,4.3057520416875
195,4.4828591720875
196,4.979222629712501
197,5.5596640703875
198,6.0031211434625
199,6.2199288755875
200,6.2261955156374995
201,6.1086498608625
202,5.9626039773374995
203,5.8569634622999995
204,5.814289466875
205,5.792740827
206,5.6951316444749995
207,5.424291444575
208,4.9799851925625
209,4.5231953492875
210,4.3057520416875
211,4.4828591720875
212,4.9792226297125
213,5.5596640703875
214,6.003121143462501
215,6.2199288755875
216,6.2261955156374995
217,6.1086498608625
218,5.9626039773374995
219,5.8569634622999995
220,5.814289466875
221,5.792740827
222,5.6951316444749995
223,5.424291444575
224,4.979985192562499
225,4.5231953492875
226,4.3057520416875
227,4.4828591720875
228,4.979222629712501
229,5.5596640703875
230,6.0031211434625
231,6.2199288755875
232,6.2261955156374995
233,6.1086498608625
234,5.9626039773374995
235,5.8569634622999995
236,5.814289466875
237,5.792740827
238,5.6951316444749995
239,5.424291444575
240,4.9799851925625
241,4.5231953492875
242,4.3057520416875
243,4.4828591720875
244,4.9792226297125
245,5.5596640703875
246,6.003121143462501
247,6.2199288755875
248,6.2261955156374995
249,6.1086498608625
250,5.9626039773374995
251,5.8569634622999995
252,5.814289466875
253,5.792740827
254,5.6951316444749995
255,5.424291444575
256,4.979985192562499
257,4.5231953492875
258,4.3057520416875
259,4.4828591720875
260,4.979222629712501
261,5.5596640703875
262,6.0031211434625
263,6.2199288755875
264,6.2261955156374995
265,6.1086498608625
266,5.9626039773374995
267,5.8569634622999995
268,5.814289466875
269,5.792740827
270,5.6951316444749995
271,5.424291444575
272,4.9799851925625
273,4.5231953492875
274,4.3057520416875
275,4.4828591720875
276,4.9792226297125
277,5.5596640703875
278,6.003121143462501
279,6.2199288755875
